hip,name,bayer,flamsteed
32249,,,30
32292,,,10
32311,,,28
32349,Sirius,α,9
32362,Alzirr,ξ,31
32404,,,32
32438,,,12
32463,,,16
32480,,ψ⁵,56
32489,,,13
32492,,,11
32504,,,12
32533,,,17
32562,,ψ⁶,57
32578,,,18
32607,,α,
32753,,,33
32759,,κ,13
32768,,τ,
32814,,,35
32844,,ψ⁷,58
32864,,,42
32912,,ι,
32916,Nervia,,
32921,,,36
33018,,θ,34
33041,,,59
33048,,,14
33064,,,60
33092,,,15
33104,,,43
33133,,ψ⁸,61
33152,,ο¹,16
33160,,θ,14
33202,,,38
33248,,,17
33277,,,37
33302,,π,19
33345,,μ,18
33347,,ι,20
33377,,ψ⁹,
33384,,θ,
33449,,,15
33485,,,16
33579,Adhara,ε,21
33595,,,39
33614,,,62
33650,,,40
33715,,,41
33719,Citalá,,
33779,,,23
33856,Unurgunite,σ,22
33927,,ω,42
33971,,,19
33977,,ο²,24
34045,Muliphein,γ,23
34088,Mekbuda,ζ,43
34182,,,44
34440,,,45
34444,Wezen,δ,25
34473,,γ¹,
34481,,γ²,
34572,,,17
34622,,,20
34693,,τ,46
34722,,,47
34724,,,21
34752,,,63
34769,,δ,22
34798,,,26
34819,,,48
34861,,,49
34909,,,51
34981,,,27
35025,,,52
35037,,ω,28
35080,,,24
35146,,,18
35152,,,53
35210,,,145
35228,,δ,
35264,,π,
35341,,,64
35350,,λ,54
35412,,,29
35415,,τ,30
35550,Wasat,δ,55
35699,,,56
35710,,,65
35726,,,20
35735,,,47
35783,,,19
35785,,,19
35842,,,58
35846,,,57
35904,Aludra,η,31
35907,,,66
35941,,,59
35987,,,1
36039,,ε,
36041,,ε,2
36046,,ι,60
36145,,,21
36156,,,61
36188,Gomeisa,β,3
36238,,,63
36265,,η,5
36284,,γ,4
36366,,ρ,62
36377,,σ,
36393,,,64
36425,,,6
36429,,,65
36439,,,22
36641,,δ¹,7
36723,,δ²,8
36760,,,68
36812,,δ³,9
36850,Castor,α,66
36962,,υ,69
37088,,,25
37204,,,70
37229,,κ¹,
37265,Jishui,ο,71
37279,Procyon,α,10
37284,Ceibo,,
37300,,,74
37379,,,140
37406,,,23
37447,,α,26
37504,,ζ,
37609,,,24
37629,,σ,75
37648,,,1
37677,,,3
37704,,,76
37740,,κ,77
37811,,,79
37826,Pollux,β,78
37842,,,2
37843,,,2
37853,,,171
37891,,,4
37908,,,81
37921,,,11
37934,,,49
37949,,,51
38016,,π,80
38041,Tapecue,,
38048,,,5
38070,,ο,
38106,,,82
38146,,,188
38170,Azmidi,ξ,7
38211,,,6
38372,,,8
38373,,ζ,13
38382,,,9
38423,,,212
38427,,,10
38538,,φ,83
38623,,,25
38639,,,26
38722,,,85
38827,,χ,
38835,,,11
38848,,,1
38901,,χ,
38962,,,14
39023,,,12
39079,,,27
39177,,,3
39191,,ω,2
39211,,,28
39236,,,5
39261,,,53
39263,,,4
39348,,,54
39424,,χ,
39429,Naos,ζ,
39524,,,14
39567,,,8
39659,,,9
39722,,,28
39757,Tureis,ρ,15
39780,,μ,10
39794,,ε,
39847,,,27
39863,,ζ,29
39874,,,12
39906,,,16
39953,Regor,γ²,
40007,,ψ¹,13
40023,,ψ,14
40035,,,18
40084,,,19
40167,Tegmine,ζ¹,16
40215,,,55
40240,,,15
40259,,,20
40282,,,16
40474,,,56
40526,Tarf,β,17
40604,,,21
40646,,,29
40687,Násti,,
40702,,α,
40772,,,57
40817,,κ¹,
40834,,κ²,
40843,,χ,18
40875,,,30
40881,Piautos,λ,19
40888,,θ,
41003,,η,
41037,Avior,ε,
41067,,,22
41075,Alsciaukat,,31
41117,,,20
41163,,,21
41211,,,1
41312,,β,
41319,,,25
41375,,,2
41377,,φ¹,22
41389,,,24
41400,,,27
41404,,φ²,23
41574,,,28
41578,,,29
41704,Muscida,ο,1
41816,,υ¹,30
41822,,θ,31
41904,,,34
41909,,η,33
41940,,υ²,32
41975,,,32
42080,,,2
42090,,,33
42133,,,35
42146,,,3
42265,,,36
42313,,δ,4
42334,,η,
42353,,,37
42402,Minchir,σ,5
42425,,θ,
42438,,π¹,3
42446,Gakyid,,
42483,,ζ,
42485,,,38
42509,,,6
42515,,β,
42516,,,39
42523,,,40
42527,,π²,4
42536,,ο,
42556,Meleph,ε,41
42578,,,42
42604,,,34
42637,,η,
42662,,,9
42794,,,9
42795,,,45
42799,,η,7
42806,Asellus Borealis,γ,43
42828,,α,
42911,Asellus Australis,δ,47
42913,Alsephina,δ,
42917,,,49
42931,,,10
42954,,,46
43067,,,12
43100,,ι,48
43103,,ι,48
43109,Ashlesha,ε,11
43121,,,50
43234,,ρ,13
43305,,,14
43409,,γ,
43454,,,54
43463,,,52
43496,,,15
43531,,,35
43575,,,53
43584,,σ¹,51
43587,Copernicus,ρ¹,55
43644,,,5
43674,Stribor,,
43721,,,57
43813,,ζ,16
43822,,,17
43825,,δ,
43834,,ρ²,58
43851,,,60
43903,,,6
43908,,ζ,
43932,,σ²,59
43970,,ο¹,62
44001,,ο²,63
44031,,,61
44066,Acubens,α,65
44127,Talitha,ι,9
44154,,σ³,64
44248,,,10
44307,,,66
44342,,,67
44382,,α,
44390,,ρ,8
44405,,ν,69
44471,Alkaphrah,κ,12
44512,,,70
44659,,ω,18
44798,,κ,76
44816,Suhail,λ,
44818,,τ,72
44824,,κ,
44838,,,74
44857,,σ¹,11
44883,,,19
44892,,,75
44901,,,15
44946,Nahn,ξ,77
44961,,,20
45001,,ε,
45033,,,79
45038,,σ²,13
45075,,τ,14
45153,,,80
45170,,,81
45184,,,21
45238,Miaplacidus,β,
45290,,,36
45333,,,16
45336,,θ,22
45410,,π,82
45455,,,17
45493,,,18
45526,,,24
45527,,,23
45556,Aspidiske,ι,
45588,,,25
45688,,,38
45699,,,83
45751,,,26
45811,,,27
45836,,,37
45860,,α,40
45902,,θ,
45941,Markeb,κ,
46026,,λ,
46107,,ι,
46146,,κ,1
46221,,,28
46365,,,29
46390,Alphard,α,30
46454,,ω,2
46457,,,3
46471,Intercrus,,41
46509,,τ¹,31
46515,,ε,
46651,,ψ,
46652,,,7
46657,,ζ¹,
46733,,,23
46734,,ζ²,
46735,,,8
46750,Alterf,λ,4
46771,,ξ,5
46774,,,6
46776,,τ²,32
46853,,θ,25
46904,,,9
46928,,ζ,
46952,,,10
46977,,,24
46982,,,33
47006,,,26
47013,,,22
47080,,,11
47087,Illyrian,,
47096,,,7
47189,,,8
47202,Kalausi,,
47205,,,10
47247,,,9
47249,,,34
47266,,,11
47300,,,42
47310,,,2
47427,,,37
47431,Ukdah,ι,35
47452,,κ,38
47508,Subra,ο,14
47550,,,13
47570,,,43
47631,,,13
47654,,,27
47701,,,15
47723,,ψ,16
47758,,θ,
47908,,ε,17
47911,,,28
47956,,ν,
47959,,,18
47965,,,44
47973,,,14
48002,,υ,
48029,,,19
48113,,,15
48218,,,20
48235,Natasha,,
48256,,,16
48273,,,4
48319,,υ,29
48324,,,23
48341,,,6
48356,Zhang,υ¹,39
48390,,,22
48402,,φ,30
48414,,,7
48437,,γ,8
48455,Rasalas,μ,24
48552,,,9
48615,Felis,,
48682,,,31
48711,Bibhā,,
48742,,,18
48774,,φ,
48833,,,19
48883,,ν,27
48926,,η,
48990,,,12
49029,,π,29
49065,,μ,
49081,,,20
49326,,μ²,
49329,,,13
49402,,υ²,40
49530,,,14
49583,,η,30
49593,,,21
49637,Yunü (Yunu),,31
49641,,α,15
49669,Regulus,α,32
49812,,,17
49841,,λ,41
49865,,,18
49929,,,34
50027,,,19
50099,,ω,
50100,,,20
50140,,,21
50218,,,22
50303,,,23
50316,,,24
50319,,,35
50333,,,37
50335,Adhafera,ζ,36
50372,Tania Borealis,λ,33
50384,,,39
50414,,ε,22
50448,,,32
50564,,,40
50583,Algieba,γ¹,41
50684,,,23
50755,,,42
50801,Tania Australis,μ,34
50851,,,43
50860,,,27
50885,,,25
50935,,,28
51008,,,44
51047,,,29
51056,,,30
51069,,μ,42
51117,,,26
51135,,,27
51172,,α,
51213,,,45
51233,,β,31
51362,,δ,29
51376,,δ,
51401,,,35
51420,,,32
51437,,β,30
51451,,,31
51459,,,36
51556,,,33
51585,,,46
51614,,φ¹,
51624,Shaomin,ρ,47
51685,,,34
51718,,,44
51775,,,48
51802,,,49
51814,,,37
51839,,γ,
51905,,φ²,
51914,,,35
52032,,,36
52085,,φ,
52098,,,37
52139,,,38
52316,,,33
52353,,,38
52401,,,34
52419,,θ,
52422,,,40
52452,,,35
52457,,,41
52478,,,39
52521,Macondo,,
52584,,,36
52595,,δ¹,
52633,,δ²,
52638,,,42
52650,,,40
52660,,,37
52685,,,41
52686,,,51
52689,,,52
52727,,μ,
52882,,,43
52911,,,53
52913,,,40
52943,,ν,
52959,,,44
52980,,,41
53043,,,43
53064,,,42
53229,Praecipua,,46
53261,,,44
53295,,ω,45
53355,,,48
53377,,,47
53417,,,54
53423,,,55
53426,,,46
53449,,,56
53492,,,50
53502,,ι,
53702,,η,
53721,Chalawan,,47
53740,Alkes,α,7
53807,,,58
53824,,,59
53838,,,49
53907,,,61
53910,Merak,β,48
53954,,,60
54049,,,62
54061,Dubhe,α,50
54136,,,51
54158,Dingolay,,
54182,,χ,63
54196,,,51
54204,,χ¹,
54255,,χ²,
54336,,,65
54347,,,52
54388,,,64
54487,,,67
54539,,ψ,52
54682,,β,11
54742,,ψ,
54849,,,69
54872,Zosma,δ,68
54879,Chertan,θ,70
54951,,,72
55016,,,73
55084,,φ,74
55137,,,75
55174,Hunahpú,,
55203,Alula Australis,ξ,
55219,Alula Borealis,ν,54
55249,,,76
55266,,,55
55282,,δ,12
55425,,π,
55434,,σ,77
55533,,,71
55560,,,56
55598,,λ,13
55642,,ι,78
55650,,,79
55664,Shama,,
55687,,ε,14
55705,,γ,15
55765,,,81
55791,,,80
55846,,,83
55874,,κ,16
55945,,τ,84
56034,,,57
56080,,,85
56127,,,87
56146,,,86
56148,,,58
56211,Giausar,λ,1
56242,,,88
56243,,ο¹,
56250,,ο²,
56280,,,17
56343,,ξ,
56445,,,89
56473,,,90
56508,Formosa,,
56561,,λ,
56572,Sagarmatha,,
56583,,,2
56633,,θ,21
56647,,υ,91
56675,,π,
56770,,,59
56779,,ω,1
56789,,,60
56802,,ι,24
56922,,ο,
56975,,,92
56997,,,61
57029,,,62
57111,,,3
57283,,ζ,27
57291,Uklun,,
57328,,ξ,2
57363,,λ,
57370,Flegetonte,,
57380,,ν,3
